GEO_ID,NAME,S1701_C02_001E
"13001","Appling County, Georgia","4191"
"13003","Atkinson County, Georgia","2462"
"13005","Bacon County, Georgia","2865"
"13007","Baker County, Georgia","680"
"13009","Baldwin County, Georgia","10838"
"13011","Banks County, Georgia","2478"
"13013","Barrow County, Georgia","9269"
"13015","Bartow County, Georgia","13490"
"13017","Ben Hill County, Georgia","5304"
"13019","Berrien County, Georgia","4935"
"13021","Bibb County, Georgia","37664"
"13023","Bleckley County, Georgia","2347"
"13025","Brantley County, Georgia","4440"
"13027","Brooks County, Georgia","4188"
"13029","Bryan County, Georgia","5020"
"13031","Bulloch County, Georgia","19079"
"13033","Burke County, Georgia","5523"
"13035","Butts County, Georgia","4985"
"13037","Calhoun County, Georgia","1326"
"13039","Camden County, Georgia","6546"
"13043","Candler County, Georgia","3457"
"13045","Carroll County, Georgia","21088"
"13047","Catoosa County, Georgia","6425"
"13049","Charlton County, Georgia","2866"
"13051","Chatham County, Georgia","43183"
"13053","Chattahoochee County, Georgia","1201"
"13055","Chattooga County, Georgia","4533"
"13057","Cherokee County, Georgia","19423"
"13059","Clarke County, Georgia","35653"
"13061","Clay County, Georgia","1211"
"13063","Clayton County, Georgia","54635"
"13065","Clinch County, Georgia","2605"
"13067","Cobb County, Georgia","73439"
"13069","Coffee County, Georgia","8703"
"13071","Colquitt County, Georgia","11318"
"13073","Columbia County, Georgia","12954"
"13075","Cook County, Georgia","4080"
"13077","Coweta County, Georgia","15417"
"13079","Crawford County, Georgia","2398"
"13081","Crisp County, Georgia","6896"
"13083","Dade County, Georgia","2235"
"13085","Dawson County, Georgia","2045"
"13087","Decatur County, Georgia","6449"
"13089","DeKalb County, Georgia","120880"
"13091","Dodge County, Georgia","4447"
"13093","Dooly County, Georgia","3086"
"13095","Dougherty County, Georgia","25651"
"13097","Douglas County, Georgia","18309"
"13099","Early County, Georgia","2938"
"13101","Echols County, Georgia","1070"
"13103","Effingham County, Georgia","4977"
"13105","Elbert County, Georgia","3697"
"13107","Emanuel County, Georgia","5851"
"13109","Evans County, Georgia","2782"
"13111","Fannin County, Georgia","3324"
"13113","Fayette County, Georgia","6190"
"13115","Floyd County, Georgia","17670"
"13117","Forsyth County, Georgia","12863"
"13119","Franklin County, Georgia","5434"
"13121","Fulton County, Georgia","149412"
"13123","Gilmer County, Georgia","4842"
"13125","Glascock County, Georgia","536"
"13127","Glynn County, Georgia","15105"
"13129","Gordon County, Georgia","11232"
"13131","Grady County, Georgia","5774"
"13133","Greene County, Georgia","3736"
"13135","Gwinnett County, Georgia","101831"
"13137","Habersham County, Georgia","6041"
"13139","Hall County, Georgia","28319"
"13141","Hancock County, Georgia","1426"
"13143","Haralson County, Georgia","4422"
"13145","Harris County, Georgia","2261"
"13147","Hart County, Georgia","4295"
"13149","Heard County, Georgia","1787"
"13151","Henry County, Georgia","22810"
"13153","Houston County, Georgia","23412"
"13155","Irwin County, Georgia","2413"
"13157","Jackson County, Georgia","7168"
"13159","Jasper County, Georgia","2415"
"13161","Jeff Davis County, Georgia","3070"
"13163","Jefferson County, Georgia","3791"
"13165","Jenkins County, Georgia","2561"
"13167","Johnson County, Georgia","2131"
"13169","Jones County, Georgia","4238"
"13171","Lamar County, Georgia","3471"
"13173","Lanier County, Georgia","2377"
"13175","Laurens County, Georgia","12376"
"13177","Lee County, Georgia","3907"
"13179","Liberty County, Georgia","10043"
"13181","Lincoln County, Georgia","1506"
"13183","Long County, Georgia","3587"
"13185","Lowndes County, Georgia","27819"
"13187","Lumpkin County, Georgia","5249"
"13189","McDuffie County, Georgia","5291"
"13191","McIntosh County, Georgia","2777"
"13193","Macon County, Georgia","3129"
"13195","Madison County, Georgia","4990"
"13197","Marion County, Georgia","1755"
"13199","Meriwether County, Georgia","4503"
"13201","Miller County, Georgia","1301"
"13205","Mitchell County, Georgia","4811"
"13207","Monroe County, Georgia","3615"
"13209","Montgomery County, Georgia","1701"
"13211","Morgan County, Georgia","1883"
"13213","Murray County, Georgia","6017"
"13215","Muscogee County, Georgia","40083"
"13217","Newton County, Georgia","18822"
"13219","Oconee County, Georgia","2165"
"13221","Oglethorpe County, Georgia","2216"
"13223","Paulding County, Georgia","14599"
"13225","Peach County, Georgia","5392"
"13227","Pickens County, Georgia","2928"
"13229","Pierce County, Georgia","4120"
"13231","Pike County, Georgia","2320"
"13233","Polk County, Georgia","7367"
"13235","Pulaski County, Georgia","2512"
"13237","Putnam County, Georgia","3396"
"13239","Quitman County, Georgia","517"
"13241","Rabun County, Georgia","3121"
"13243","Randolph County, Georgia","2536"
"13245","Richmond County, Georgia","44956"
"13247","Rockdale County, Georgia","13394"
"13249","Schley County, Georgia","1111"
"13251","Screven County, Georgia","3043"
"13253","Seminole County, Georgia","2034"
"13255","Spalding County, Georgia","13702"
"13257","Stephens County, Georgia","4007"
"13259","Stewart County, Georgia","1478"
"13261","Sumter County, Georgia","7860"
"13263","Talbot County, Georgia","1204"
"13265","Taliaferro County, Georgia","466"
"13267","Tattnall County, Georgia","4276"
"13269","Taylor County, Georgia","2119"
"13271","Telfair County, Georgia","3617"
"13273","Terrell County, Georgia","2713"
"13275","Thomas County, Georgia","9135"
"13277","Tift County, Georgia","9516"
"13279","Toombs County, Georgia","6324"
"13281","Towns County, Georgia","1672"
"13283","Treutlen County, Georgia","1359"
"13285","Troup County, Georgia","13932"
"13287","Turner County, Georgia","2677"
"13289","Twiggs County, Georgia","2138"
"13291","Union County, Georgia","3203"
"13293","Upson County, Georgia","5702"
"13295","Walker County, Georgia","11902"
"13297","Walton County, Georgia","11500"
"13299","Ware County, Georgia","7828"
"13301","Warren County, Georgia","1387"
"13303","Washington County, Georgia","4960"
"13305","Wayne County, Georgia","5372"
"13307","Webster County, Georgia","660"
"13309","Wheeler County, Georgia","1765"
"13311","White County, Georgia","3918"
"13313","Whitfield County, Georgia","18229"
"13315","Wilcox County, Georgia","1484"
"13317","Wilkes County, Georgia","2334"
"13319","Wilkinson County, Georgia","2241"
"13321","Worth County, Georgia","4253"
